COMMON_NAME,LATIN_NAME,GENUS,FAMILY,ORDER,ALT_NAME
Northern Fulmar,Fulmarus glacialis,Fulmarus,Procellariidae,,Fulmar
Ross' Gull, Rhodostethia rosea,Rhodostethia,Laridae,,Ross Gull
Sabine's Gull,Xema sabini,Xema,Laridae,,Sabine Gull
Arctic Tern,Sterna paradisaea,Sterna,Laridae,,
Skua,Catharacta skua,Catharacta,Stercorariidae,,
Least Storm-Petrel,Halocyptena microsoma,Halocyptena,Hydrobatidae,,Least Petrel
Pink-footed Shearwater,Puffinus creatopus,Puffinus,Procellariidae ,,
Sooty Shearwater,Puffinus griseus,Puffinus,Procellariidae,,
Manx Shearwater,Puffinus puffinus,Puffinus,Procellariidae,,
Flesh-footed Shearwater,Puffinus carneipes,Puffinus,Procellariidae,,Pale-footed Shearwater
Short-tailed Shearwater,Puffinus tenuirostris,Puffinus,Procellariidae,,Slender-billed Shearwater
New Zealand Shearwater,Puffinus bulleri,Puffinus,Procellariidae,,
Laysan Albatross,Diomedea immutabilis,Diomedea,Diomedeidae,,
Black-footed Albatross,Diomedea nigripes,Diomedea,Diomedeidae,,
Thayer's Gull,Larus thayeri,Larus,Laridae,,
Herring Gull, Larus argentatus,Larus,Laridae,,
Glaucous-winged Gull,Larus glaucescens,Larus,Laridae,,
Western Gull,Larus occidentalis,Larus,Laridae,,
Mew Gull,Larus canus,Larus,Laridae,,
Heermann's Gull,Larus heermanni,Larus,Laridae,,
Least Tern,Sterna albifrons,Sterna,Laridae,,
Royal Tern,Sterna maxima,Sterna,Laridae,,
Elegant Tern,Sterna elegans,Sterna,Laridae,,
Aleutian Tern,Sterna aleutica,Sterna,Laridae,,
Red-billed Tropicbird,Phaethon aethereus,Phaethon,Phaethontidae,,
Magnificent Frigatebird,Fregata magnificens,Fregata,Fregatidae,,
Red-footed Booby,Sula sula,Sula,Sulidae,,
Brown Booby,Sula leucogaster,Sula,Sulidae,,
Blue-footed Booby,Sula nebouxii,Sula,Sulidae,,
Kittlitz's Murrelet,Brachyramphus brevirostris,Brachyramphus,Alcidae,,
Marbled Murrelet,Brachyramphus marmoratus,Brachyramphus,Alcidae,,
Common Eider,Somateria mollissima,Somateria,Anatidae,,
Black Scoter,Melanitta nigra,Melanitta,Anatidae,,Common Scoter
White-winged Scoter,Melanitta deglandi,Melanitta,Anatidae,,
Surf Scoter,Melanitta perspicillata,Melanitta,Anatidae,,
Emperor Goose,Philacte canagica,Philacte,Anatidae,,
Brant,Branta bernicla,Branta,Anatidae,,Black Brant
Red-throated Loon,Gaviaa stellata,Gavia,Gaviidae,,
Arctic Loon,Gavia arctica,Gavia,Gaviidae,,
Snowy Plover,Charadrius alexandrinus,Charadrius,Charadriidae,,
Semipalmated Plover,Charadrius semipalamatus,Charadrius,Charadriidae,,
Dunlin,Calidris alpina,Calidris,Scolopacidae,,
Sanderling,Calidris alba,Calidris,Scolopacidae,,
Sharp-tailed Sandpiper,Calidris acuminata,Calidris,Scolopacidae,,
Red Phalarope,Phalaropus fulicarius,Phalaropus,Phalaropodidae,,
Northern Phalarope,Phalaropus lobatus,Phalaropus,Phalaropodidae,,
Gyrfalcon,Falco rusticolus,Falco,Falconidae,,
Glaucous Gull,Larus hyperboreus,Larus,Laridae,,
Black-legged Kittiwake,Rissa tridactyla,Rissa,Laridae,,
Red-legged Kittiwake,Rissa brevirostris,Rissa,Laridae,,
Fork-tailed Storm-Petrel,Oceanodroma furicata,Oceanodroma,Hydrobatidae,,Fork-tailed Petrel
Leach's Storm-Petrel,Oceanodroma leucorhoa,Oceanodroma,Hydrobatidae,,Leach's Petrel
Ashy Storm-Petrel,Oceanodroma homochroa,Oceanodroma,Hydrobatidae,,Ashy Petrel
Black Storm-Petrel,Oceanodroma melania,Oceanodroma,Hydrobatidae,,Black Petrel
Pelagic Cormorant,Phalacrocorax pelagicus,Phalacrocorax,Phalacrocoracidae,,
Red-faced Cormorant,Phalacrocorax urile,Phalacrocorax,Phalacrocoracidae,,
Brandt's Cormorant,Phalacrocorax penicillatus,Phalacrocorax,Phalacrocoracidae,,
Thick-billed Murre,Uria lomvia,Uria,Alcidae,,
Common Murre,Uria aalge,Uria,Alcidae,,
Pigeon Guillemot,Cepphus columba,Cepphus,Alcidae,,
Tufted Puffin,Lunda cirrhata,Lunda,Alcidae,,
Horned Puffin,Fratercula corniculata,Fratercula,Alcidae,,
Rhinoceros Auklet,Cerorhinca monocerata,Cerorhinca,Alcidae,,
Crested Auklet,Aethia cristatella,Aethia,Alcidae,,
Whiskered Auklet,Aethia pygmaea,Aethia,Alcidae,,
Cassin's Auklet,Ptychoramphus aleuticus,Ptychoramphus,Alcidae,,
Parakeet Auklet,Cyclorrhynchus psittacula,Cyclorrhynchus,Alcidae,,
Least Auklet,Aethia pusilla,Aethia,Alcidae,,
Xantus' Murrelet,Endomychura hypoleuca,Endomychura,Alcidae,,Xantus Murrelet
Craveri's Murrelet,Endomychura craveri,Endomychura,Alcidae,,
Ancient Murrelet,Synthliboramphus antiquus,Synthliboramphus,Alcidae,,
Brown Pelican,Pelecanus occidentalis,Pelecanus,Pelecanidae,,
Ruddy Turnstone,Arenaria interpres,Arenaria,Scolopacidae,,
Rock Sandpiper,Calidris ptilocnemis,Calidris,Scolopacidae,,
Black Oystercatcher,Haematopus bachmani,Haematopus,Haematopodidae,,
Black Turnstone,Arenaria melanocephala,Arenaria,Scolopacidae,,
Surfbird,Aphriza virgata,Aphriza,Scolopacidae,,
Wandering Tattler,Heteroscelus incanus,Heteroscelus,Scolopacidae,,
Cattle Egret,Bubulcus ibis,Bubulcus,Ardeidae,,
Gull-billed Tern,Gelochelidon nilotica,Gelochelidon,Laridae,,
Tufted Duck,Aythya fuligula,Aythya,Anatidae,,
Lesser Scaup,Aythya affinis,Aythya,Anatidae,,
Greater Scaup,Aythya marila,Aythya,Anatidae,,
Whistling Swan,Olor columbianus,Olor,Anatidae,,
Short-billed Dowitcher,Limnodromus griseus,Limnodromus,Scolopacidae,,
Clapper Rail,Rallus longirostris,Rallus,Rallidae,,
Black Rail,Laterallus jamaicensis,Laterallus,Rallidae,,
Snowy Egret,Egretta thula,Egretta,Ardeidae,,
Great Egret,Casmerodius albus,Casmerodius,Ardeidae,,Common Egret
Black-crowned Night Heron,Nycticorax nycticorax,Nycticorax,Ardeidae,,
Least Bittern,Ixobrychus exilis,Ixobrychus,Ardeidae,,
American Bittern,Botaurus lentiginosus,Botaurus,Ardeidae,,
Wood Stork,Mycteria americana,Mycteria,Ciconiidae,,Wood ibis
White-faced Ibis,Plegadis chihi,Plegadis,Threskiornithidae,,
Great Blue Heron,Ardea herodias,Ardea,Ardeidae,,
Sandhill Crane,Grus canadensis,Grus,Gruidae,,
Black Tern,Chlidonias niger,Chlidonias,Laridae,,
Ring-necked Duck,Aythya collaris,Aythya,Anatidae,,
Redhead,Aythya americana,Aythya,Anatidae,,
Canvasback,Aythya valisineria,Aythya,Anatidae,,
Northern Shoveler,Anas clypeata,Anas,Anatidae,,Shoveler
Mallard,Anas platyrhynchos,Anas,Anatidae,,
American Coot,Fulica americana,Fulica,Rallidae,,
Ruddy Duck,Oxyura jamaicensis,Oxyura,Anatidae,,
Cinnamon Teal,Anas cyanoptera,Anas,Anatidae,,
European Wigeon,Anas penelope,Anas,Anatidae,,
American Wigeon,Anas americana,Anas,Anatidae,,
Blue-winged Teal,Anas discors,Anas,Anatidae,,
Green-winged Teal,Anas crecca,Anas,Anatidae,,
Fulvous Whistling-Duck,Dendrocygna bicolor,Dendrocygna,Anatidae,,
Mexican Duck,Anas diazi,Anas,Anatidae,,
Pintail,Anas acuta,Anas,Anatidae,,
Gadwall,Anas strepera,Anas,Anatidae,,
Trumpeter Swan,Olor buccinator,Olor,Anatidae,,
Ross' Goose,Chen rossii,Chen,Anatidae,,
Snow Goose,Chen caerulescens,Chen,Anatidae,,Blue Goose
Canada Goose,Branta canadensis,Branta,Anatidae,,
White-fronted Goose,Anser albifrons,Anser,Anatidae,,
Wilson's Phalarope,Steganopus tricolor,Steganopus,Phalaropodidae,,
Common Snipe,Capella gallinago,Capella,Scolopacidae,,Wilson's Snipe
Willet,Catoptrophorus semipalmatus,Catoptrophorus,Scolopacidae,,
Black-necked Stilt,Himantopus mexicanus,Himantopus,Recurvirostridae,,Blacknecked Stilt
American Avocet,Recurvirostra americana,Recurvirostra,Recurvirostridae,,
Virginia Rail,Rallus limicola,Rallus,Rallidae,,
Yellow Rail,Coturnicops noveboracensis,Coturnicops,Rallidae,,
Sora,Porzana carolina,Porzana,Rallidae,,
Common Gallinule,Gallinula chloropus,Gallinula,Rallidae,,
Short-eared Owl,Asio flammeus,Asio,Strigidae,,
Marsh Hawk,Circus cyaneus,Circus,Accipitridae,,
Common Yellowthroat,Geothlypis trichas,Geothlypis,Parulidae,,Yellowthroat
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Xanthocephalus,Icteridae,,
Long-billed Marsh Wren,Cistothorus palustris,Cistothorus,Troglodytidae,,
Red-winged Blackbird,Agelaius phoeniceus,Agelaius,Icteridae,,
Tricolored Blackbird,Agelaius tricolor,Agelaius,Icteridae,,
Green Heron,Butorides striatus,Butorides,Ardeidae,,
California Gull,Larus californicus,Larus,Laridae,,
Ring-billed Gull,Larus delawarensis,Larus,Laridae,,
Bonaparte's Gull,Larus philadelphia,Larus,Laridae,,
Franklin's Gull,Larus pipixcan,Larus,Laridae,,
Common Tern,Sterna hirundo,Sterna,Laridae,,
Caspian Tern,Sterna caspia,Sterna,Laridae,,
Double-crested Cormorant,Phalacrocorax auritus,Phalacrocorax,Phalacrocoracidae,,Doublecrested Cormorant
Red-breasted Merganser,Mergus serrator,Mergus,Anatidae,,Redbreasted Merganser
Common Merganser,Mergus merganser,Mergus,Anatidae,,
Hooded Merganser,Lophodytes cucullatus,Lophodytes,Anatidae,,
Bufflehead,Bucephala albeola,Bucephala,Anatidae,,
Barrow's Goldeneye,Bucephala islandica,Bucephala,Anatidae,,
Common Goldeneye,Bucephala clangula,Bucephala,Anatidae,,
Wood Duck,Aix sponsa,Aix,Anatidae,,
Harlequin Duck,Histrionicus histrionicus,Histrionicus,Anatidae,,Harlequinn Duck
White Pelican,Pelecanus erythrorhynchos,Pelecanus,Pelecanidae,,
Common Loon,Gavia immer,Gavia,Gaviidae,,
Western Grebe,Aechmophorus occidentalis,Aechmophorus,Podicipedidae,,
Red-necked Grebe,Podiceps grisegena,Podiceps,Podicipedidae,,Rednecked Grebe
Pied-billed Grebe,Podilymbus podiceps,Podilymbus,Podicipedidae,,Piedbilled Grebe
Eared Grebe,Podiceps nigricollis,Podiceps,Podicipedidae,,
Horned Grebe,Podiceps auritus,Podiceps,Podicipedidae,,
Killdeer,Charadrius vociferus,Charadrius,Charadriidae,,
Solitary Sandpiper,Tringa solitaria,Tringa,Scolopacidae,,
Spotted Sandpiper,Actitis macularia,Actitis,Scolopacidae,,
Pectoral Sandpiper,Calidris melanotos,Calidris,Scolopacidae,,
Osprey,Pandion haliaetus,Pandion,Pandionidae,,
Bald Eagle,Haliaeetus leucocephalus,Haliaeetus,Accipitridae,,
Rough-winged Swallow,Stelgidopteryx ruficollis,Stelgidopteryx,Hirundinidae,,Roughwinged Swallow
Bank Swallow,Riparia riparia,Riparia,Hirundinidae,,
Tree Swallow,Iridoprocne bicolor,Iridoprocne,Hirundinidae,,
Dipper,Cinclus mexicanus,Cinclus,Cinclidae,,
Belted Kingfisher,Megaceryle alcyon,Megaceryle,Alcedinidae,,
Green Kingfisher,Chloroceryle americana,Chloroceryle,Alcedinidae,,
Black Phoebe,Sayornis nigricans,Sayornis,Tyrannidae,,
Parasitic Jaeger,Stercocarius parasiticus,Stercocarius,Stercorariidae,,
Pomarine Jaeger,Stercocarius pomarinus,Stercocarius,Stercorariidae,,
Oldsquaw,Clangula hyemalis,Clangula,Anatidae,,
King Eider,Somateria spectabilis,Somateria,Anatidae,,
Spectacled Eider,Somateria fischeri,Somateria,Anatidae,,
Steller's Eider,Polysticta stelleri,Polysticta,Anatidae,,
Yellow-billed Loon,Gavia adamsii,Gavia,Gaviidae,,Yellowbilled Loon
Least Sandpiper,Calidris minutilla,Calidris,Scolopacidae,,
Semipalmated Sandpiper,Calidris pusilla,Calidris,Scolopacidae,,
Rufous-necked Sandpiper,Calidris ruficollis,Calidris,Scolopacidae,,
Long-billed Dowitcher,Limnodromnus scolopaceus,Limnodromnus,Scolopacidae,,Longbilled Dowitcher
Bar-tailed Godwit,Limosa lapponica,Limosa,Scolopacidae,,Bartailed Godwit
Lapland Longspur,Calcarius lapponicus,Calcarius,Fringillidae,,
Lesser Nighthawk,Chordeiles acutipennis,Chordeiles,Caprimulgidae,,
Roadrunner,Geococcyx californianus,Geococcyx,Cuculidae,,
Gambel's Quail,Lophortyx gambelii,Lophortyx,Phasianidae,,
Elf Owl,Micrathene whitneyi,Micrathene,Strigidae,,
Ferruginous Owl,Glaucidium brasilianum,Glaucidium,Strigidae,,
Caracara,Caracara cheriway,Caracara,Falconidae,,
Harris' Hawk,Parabuteo unicinctus,Parabuteo,Accipitridae,,Harris Hawk
Ground Dove,Columbina passerina,Columbina,Columbidae,,
White-winged Dove,Zenaida asiatica,Zenaida,Columbidae,,
Ladder-backed Woodpecker,Picoides scalaris,Picoides,Picidae,,Ladderbacked Woodpecker
Gila Woodpecer,Melanerpes uropygialis,Melanerpes,Picidae,,
Broad-billed Hummingbird,Cyanthus latirostris,Cyanthus,Trochilidae,,Broadbilled Hummingbird
Costa's Hummingbird,Calypte costae,Calypte,Trochilidae,,
Lucifer Hummingbird,Colathorax lucifer,Colathorax,Trochilidae,,
Verdin,Auriparus flaviceps,Auriparus,Paridae,,
Lucy's Warbler,Vermivora luciae,Vermivora,Parulidae,,
Vermilion Flycatcher,Pyrocephalus rubinus,Pyrocephalus,Tyrannidae,,
Pyrrhuloxia,Cardinalis sinuatus,Cardinalis,Fringillidae,,
Phainopepla,Phainopepla nitens,Phainopepla,Ptilogonatidae,,
Black-tailed Gnatcatcher,Polioptila melanura,Polioptila,Sylviidae,,Blacktailed Gnatcatcher
Wied's Crested Flycatcher,Myiarchus tyrannulus,Myiarchus,Tyrannidae,,
Cactus Wren,Campylorhychus brunneicapillus,Campylorhychus,Troglodytidae,,
Bendire's Thrasher,Toxostoma bendirei,Toxostoma,Mimidae,,Bendires Thrasher
Curve-billed Thrasher,Toxostoma curvirostre,Toxostoma,Mimidae,,
Le Conte's Thrasher,Toxostoma leocontei,Toxostoma,Mimidae,,Le Contes Thrasher
Crissal Thrasher,Toxostoma dorsale,Toxostoma,Mimidae,,
Abert's Towhee,Pipilo aberti,Pipilo,Fringillidae,,Aberts Towhee
Black-throated Sparrow,Amphispiza bilineata,Amphispiza,Fringillidae,,Blackthroated Sparrow
Varied Bunting,Passerina versicolor,Passerina,Fringillidae,,
White-necked Raven,Corvus cryptoleucus,Corvus,Corvidae,,Whitenecked Raven
Upland Sandpiper,Bartramia longicauda,Bartramia,Scolopacidae,,Upland Plover
Marbled Godwit,Limosa fedoa,Limosa,Scolopacidae,,
Long-billed Curlew,Numenius americanus,Numenius,Scolopacidae,,Longbilled Curlew
Common Nighthawk,Chordeiles minor,Chordeiles,Caprimulgidae,,
Sharp-tailed Grouse,Pediocetes phasianellus,Pediocetes,Tetraonidae,,Sharptailed Grouse
Greater Prairie Chicken,Tympanuchus cupido,Tympanuchus,Tetraonidae,,
Lesser Prairie Chicken,Tympanuchus pallidicinctus,Tympanuchus,Tetraonidae,,
Bobwhite,Colinus virginianus,Colinus,Phasianidae,,
Scaled Owl,Callipepla squamata,Callipepla,Phasianidae,,
Burrowing Owl,Athene cunicularia,Athene,Strigidae,,
Barn Owl,Tyto alba,Tyto,Tytonidae,,
Black Vulture,Coragyps atratus,Coragyps,Cathartidae,,
Turkey Vulture,Cathartes aura,Cathartes,Cathartidae,,
Swainson's Hawk,Buteo swainsoni,Buteo,Accipitridae,,Swainsons Hawk
Red-tailed Hawk,Buteo jamaicensis,Buteo,Accipitridae,,Redtailed Hawk
Ferruginous Hawk,Buteo regalis,Buteo,Accipitridae,,
White-tailed Kite,Elanus leucurus,Elanus,Accipitridae,,Whitetailed Kite
Aplomado Falcon,Falco femoralis,Falco,Falconidae,,
American Kestrel,Falco sparverius,Falco,Falconidae,,Sparrow Hawk
Golden Eagle,Aquila chrysaetos,Aquila,Accipitridae,,
Mourning Dove,Zenaida macroura,Zenaida,Columbidae,,
Lesser Goldfinch,Carduelis psaltria,Carduelis,Fringillidae,,
Western Kingbird,Tyrannus verticalis,Tyrannus,Tyrannidae,,
Cassin's Kingbird,Tyrannus vociferans,Tyrannus,Tyrannidae,,Cassins Kingbird
Western Meadowlark,Sturmella neglecta,Sturmella,Icteridae,,
Eastern Meadowlark,Sturmella magna,Sturmella,Icteridae,,
Scissor-tailed Flycatcher,Muscivora forficata,Muscivora,Tyrannidae,,Scissortailed Flycatcher
Loggerhead Shrike,Lanius ludovicianus,Lanius,Laniidae,,
Eastern Kingbird,Tyrannus tyrannus,Tyrannus,Tyrannidae,,
Brewer's Blackbird,Euphagus cyanocephalus,Euphagus,Icteridae,,Brewers Blackbird
Grasshopper Sparrow,Ammodramus savannarum,Ammodramus,Fringillidae,,
Botteri's Sparrow,Aimophila botterii,Aimophila,Fringillidae,,Botteris Sparrow
Cassin's Sparrow,Aimophila cassinii,Aimophila,Fringillidae,,Cassins Sparrow
Rufous-winged Sparrow,Aimphila carpalis,Aimophila,Fringillidae,,Rufouswinged Sparrow
Baird's Sparrow,Ammodramus bairdii,Ammodramus,Fringillidae,,Bairds Sparrow
